Need to Act Fast,,,
,Definition,Ex,C-Ex
"To act, sure of importance & ability to make impact",,,
Peltzman effect,People take greater risks when safety measures reduce perceived danger.,"After buying a helmet, he cycled faster through traffic-filled downtown streets.
 Drivers sped more once anti-lock brakes made them feel safer.
 She texted while walking because sidewalks now had protective railings.
 Wearing masks, partygoers ignored distancing rules at crowded indoor events.
 Insurance coverage encouraged riskier skiing on unfamiliar, icy mountain slopes.","After installing airbags, a driver becomes more cautious, not reckless.
A cyclist wears a helmet and also slows down in traffic.
A student studies harder even though the exam is open-book."
Risk compensation,"People adjust behavior, increasing risk, when they feel more protected.","He jaywalked more after installing a pedestrian safety app.
 Students studied less once open-book exams were announced.
 She invested aggressively after receiving a guaranteed minimum return.
 Cyclists rode closer to cars because bike lanes felt protective.
 Vaccinated travelers ignored hygiene practices during long international flights.","Someone with health insurance still avoids risky activities.
A swimmer wearing a life jacket stays close to shore.
A worker with safety gear follows rules more carefully."
Effort justification,People value outcomes more when significant effort was previously invested.,"After weeks rehearsing, she insisted the mediocre play was brilliant.
 He defended exhausting bootcamp, claiming it completely changed his life.
 They praised bland food because reservations were hard to secure.
 She glorified her major after surviving extremely demanding entrance exams.
 He valued overpriced furniture because he assembled it himself.","After weeks on a project, a student admits it wasnât worth the time.
Someone quits a hard hobby because it no longer brings joy.
A person returns an expensive item even after researching it extensively."
Trait ascription bias,"Assuming others'behaviors reflect traits, while ours reflect situational factors.","He called her lazy, ignoring she worked double shifts yesterday.
 She labeled him rude, overlooking his exhausting overnight hospital shift.
 They assumed incompetence instead of recognizing confusing project instructions.
 I blamed his personality, not the impossible deadline pressure.
 She judged classmates arrogant, ignoring language barriers.","You notice your friend snapped because they were stressed, not rude.
You admit your mistake was due to carelessness, not bad luck.
You assume a stranger was late because of traffic."
Defensive attribution hypothesis,Blaming victims less when we identify with their situation.,"Drivers blamed poor visibility rather than the cyclist after imagining themselves trying to spot a bike in dark, rainy traffic.
 Students excused cheating when remembering their own academic pressure.
 Workers defended injured colleagues, recalling similar workplace hazards.
 Drivers blamed weather after picturing themselves in icy conditions.
 Parents sympathized with mistakes once imagining their own exhausted evenings.","You blame a reckless driver even though you also drive.
You admit a victim made poor choices despite sharing their background.
You acknowledge responsibility could apply to anyone."
Fundamental attribution error,Overemphasizing personality while underestimating situational influences on others'behavior.,"She called him unreliable, ignoring subway delays during heavy storms.
 They blamed laziness instead of confusing workplace expectations.
 I assumed arrogance, overlooking her public speaking anxiety.
 He judged incompetence without noticing broken software systems.
 Teachers blamed effort, ignoring chaotic home environments.","You realize a cashier seemed rude because they were overwhelmed.
You consider workload before judging a coworkerâs performance.
You excuse a classmateâs silence as shyness or fatigue."
Actor-observer bias,"Explaining our actions situationally, others'actions dispositionally.","I blamed traffic; he blamed my irresponsibility for being late.
 She cited workload; coworkers cited her poor organization.
 He excused anger as stress; friends called him aggressive.
 I blamed noise; neighbors blamed my temperament.
 She blamed illness; teachers blamed motivation.","You admit you failed because you didnât prepare enough.
You say a friend missed class due to family issues.
You take responsibility for arriving late."
Self-serving bias,"Attributing successes internally, failures externally, to protect self-esteem.","He credited talent for promotion, blamed coworkers for project failure.
 She praised her skills after winning, blamed unfair judges afterward.
 I took credit for teamwork, blamed software for errors.
 They celebrated strategy, blamed weather for losses.
 She owned praise but blamed traffic for lateness.","You credit teamwork for success.
You accept personal blame for a failed presentation.
You admit poor planning caused your mistake."
Lake Wobegone effect,Most people believe they are above average on positive traits.,"Most drivers think theyâre safer and more skilled than average, even after speeding tickets or near-misses.
 Students often believe they work harder than classmates, despite similar grades and study habits across the class.
 Employees rate their own cooperation highly, while quietly blaming group problems on everyone else.
 People assume theyâre kinder than most strangers, even when they ignore small chances to help
 Parents usually feel theyâre better caregivers than average, overlooking how common their struggles actually are.","You realistically rate yourself as average at math.
You admit others are better musicians than you.
You recognize classmates outperform you academically."
Illusory superiority,Overestimating one's abilities relative to others.,"He believed his singing outperformed classmates without any formal training.
 She assumed superior multitasking despite frequent missed deadlines.
 Drivers claimed exceptional reflexes after minor near-misses.
 Students predicted top scores before seeing practice results.
 Entrepreneurs overvalued ideas despite limited market research.","You accept your driving skills are ordinary.
You acknowledge someone else speaks better English.
You recognize your limitations in sports."
Hard-easy effect,"Overconfidence on hard tasks, underconfidence on easy tasks.","He predicted high exam scores on hardest section, missed basics.
 She doubted simple puzzles but boasted complex reasoning abilities.
 Traders underestimated routine profits but overestimated the gain from risky strategies.
 Students didn't work on easy problems because they thought the easy ones were as hard as the hard questions
 Athletes underestimated warmups but overestimated championship performance.","You feel confident about easy homework.
You doubt yourself before a very hard exam.
You correctly predict which tasks will be difficult."
Dunning-Kruger effect,Low ability causes overconfidence due to poor self-assessment skills.,"Beginner musicians dismissed lessons while criticizing professional performers.
 New coders claimed mastery after finishing one tutorial.
 Inexperienced debaters felt unbeatable after first competition.
 Novice investors ignored advice, trusting gut instincts.
 Early learners lectured experts confidently.","A beginner admits they know very little.
A novice asks many questions.
Someone new seeks feedback instead of bragging."
False consesnsus effect,Overestimating how much others share our beliefs and behaviors.,"He assumed everyone disliked group projects as much as he did.
 She believed classmates supported her opinion automatically.
 Voters expected friends'preferences matched their own attitudes.
 Managers thought employees agreed with new policies.
 Students assumed peers studied similarly.","You realize your opinion is unpopular.
You accept others think differently.
You donât assume friends share your political views."
Illusion of control,Believing we influence outcomes actually determined by chance.,"Choosing specific lottery numbers because they âfeel lucky.â
 Throwing dice harder or softer to try to control the result.
 Picking a particular slot machine, believing itâs âdueâ to pay out.
 Shuffling cards in a special way, thinking it improves your hand.
 Selecting a roulette color based on a personal ritual.","You accept lottery results are pure chance.
You know pressing elevator buttons doesnât speed it up.
You recognize weather canât be controlled."
Barnum effect,Accepting vague personality descriptions as uniquely accurate.,"Horoscope readings felt deeply personal despite universal phrasing.
 She believed personality quizzes described her perfectly.
 Students embraced generic fortune-telling feedback.
 Clients accepted broad therapy statements.
 Employees related to generalized leadership profiles.","You dismiss vague horoscope descriptions.
You notice personality statements apply to everyone.
You demand specific evidence."
Forer effect,Believing general statements specifically describe oneself.,"Participants rated identical personality sheets highly personalized.
 She trusted generic career predictions.
 âYou sometimes doubt your decisions, but value independence.â â âThatâs exactly me.â
 Workshop attendees praised universal feedback.
 Users accepted broad self-help descriptions.","You reject generic personality quizzes.
You question fortune-telling claims.
You recognize broad statements arenât personal."
Third-person effect,Believing media affects others more than oneself.,"He thought ads manipulated others, not his own buying habits.
 She blamed misinformation on gullible classmates.
 Parents feared screens corrupt children, not themselves.
 Students claimed propaganda fooled peers.
 A voter insists campaign ads donât affect their own views because they âthink critically.""","You admit ads influence your buying choices.
You realize social media affects you too.
You notice news headlines shape your opinions."
Social desirability bias,Answering to appear socially acceptable rather than truthful.,"Survey respondents overstated volunteering hours.
 Students denied cheating behaviors.
 Employees exaggerated teamwork contributions.
 Participants underreported unhealthy habits.
 Interviewees claimed eco-friendly lifestyles.","You honestly admit you didnât recycle.
You report real feelings on a survey.
You confess mistakes publicly."
Optimism bias,Expecting positive outcomes while underestimating likelihood of negative events.,"He assumed deadlines would magically work out.
 She ignored illness risks before traveling.
 Students expected easy finals.
 Drivers believed accidents would never happen on them.
 Entrepreneurs underestimated startup failure rates.","You prepare for worst-case scenarios.
You buy travel insurance.
You expect challenges in a new job."
Egocentric bias,Overestimating our contribution and perspective in shared experiences.,"He believed group success mostly came from his ideas.
 She remembered arguments from her viewpoint only.
 Teammates overstated personal effort.
 Partners recalled chores unevenly.
 Students thought they dominated discussions.","You acknowledge others did most of the group work.
You credit teammates for success.
You accept your memory may be inaccurate."
Overconfidence effect,Excessive confidence in accuracy of judgments and abilities.,,"You double-check your answers.
You ask experts for advice.
You admit uncertainty."
Favor the relatable thing in front of us,,,
Identifiable victim effect,People help specific visible individuals more than anonymous statistical victims.,"She donated instantly after seeing one injured puppy on social media.
 He ignored disaster statistics but paid hospital bills for one neighbor.
 Students fundraised harder after meeting a single affected classmate.
 Viewers cried for one refugee child, ignoring thousands displaced.
 Volunteers rallied once hearing one survivors personal story.","You donate equally to anonymous charities.
You help based on statistics, not faces.
You support large-scale relief efforts."
Appeal to novelty,Preferring new options simply because they seem fresh or innovative.,"He bought the newest phone despite perfectly working old model.
 Students tried flashy apps instead of proven study methods.
 Managers adopted trendy frameworks without evidence.
 She ordered experimental drinks over reliable favorites.
 Investors chased newest startups blindly.","You choose an older product because it works better.
You keep proven study methods.
You reject flashy but ineffective apps."
Hyperbolic discounting,Preferring immediate rewards over larger delayed benefits irrationally.,"He chose gaming tonight instead of studying for future scholarships.
 She spent savings now rather than investing for retirement.
 Students skipped homework for instant social media scrolling.
 Speeding to save minutes even when accidents could occur
 Workers cashed bonuses immediately.","You save money instead of buying gadgets.
You study now for future success.
You delay dessert for health."
Favor completing when  time & energy invested,,,
Backfire effect,Contradictory evidence strengthens existing beliefs instead of changing them.,"Facts about vaccines made him more resistant.
 A voter is shown verified facts disproving their candidateâs claim â and becomes even more loyal, calling the sources biased.Climate data hardened denial.
 A skeptic sees scientific data about rising temperatures but doubles down, saying scientists exaggerate for funding.
 When presented with official documents disproving a conspiracy, believers argue the documents are part of the cover-up.
 A student receives evidence their answer is wrong, yet insists the teacher misunderstood and defends their original reasoning more aggressively.","You change your opinion after seeing strong evidence.
You admit you were wrong.
You update beliefs when presented with facts."
Endowment effect,Valuing owned objects more than identical unowned objects.,"He overpriced his used laptop because ownership made it feel more valuable than market alternatives.
 Someone refuses to sell a mug they own for $5, despite originally paying only $2 for it.
 Students demanded more money for books they owned than they would pay to borrow identical copies.
  Homeowners often inflate their houseâs value simply because it belongs to them personally.
  Collectors rejected fair trades because giving up owned items felt like a personal loss.","She sold her old phone cheaply, valuing it no more than identical used models.
 Owning the mug did not increase its value compared with store alternatives.
 He judged the product solely by features, ignoring personal ownership."
