Need to act fast,,,,,,Ex1,Ex2,Ex3,Ex4,Ex5,C-Ex1,C-Ex2,C-Ex3
"To act, sure of importance & ability to make impact",,,,,,,,,,,,,
,Peltzman effect,People take greater risks when safety measures reduce perceived danger.,,"1. After installing airbags, drivers take more aggressive risks; 2. Helmet use increases confidence in risky motorcycle behavior; 3. Seatbelt adoption increases speeding behavior; 4. High-security locks make people leave doors unlocked; 5. Flood insurance encourages construction in flood zones; 6. Safety guardrails encourage faster driving near cliffs; 7. Anti-lock brakes lead to harder braking in emergencies; 8. Protective equipment increases risk-taking in sports; 9. Bike lanes encourage faster cycling behavior; 10. Medical monitoring technology increases risky health behaviors.",1. Safety measures reduce accidents independent of behavior; 2. Airbags prevent injury despite aggressive driving; 3. Helmets protect even with reckless behavior; 4. Seatbelts save lives regardless of speed; 5. Flood insurance protects economically; 6. Guardrails prevent falls despite overconfidence; 7. Anti-lock brakes improve stopping distance; 8. Protective gear reduces injury severity; 9. Bike lanes increase cycling safety overall; 10. Medical monitoring detects problems early.,"After buying a helmet, he cycled faster through traffic-filled downtown streets.",Drivers sped more once anti-lock brakes made them feel safer.,She texted while walking because sidewalks now had protective railings.,"Wearing masks, partygoers ignored distancing rules at crowded indoor events.","Insurance coverage encouraged riskier skiing on unfamiliar, icy mountain slopes.","Even with airbags, she drives cautiously and obeys every traffic signal.",He still follows safety protocols despite advanced protective laboratory equipment.,Lifeguards increased vigilance after new flotation devices were installed.
,Risk compensation,People adjust behavior,,1. Drivers text more frequently after installing collision avoidance systems; 2. Workers in protective gear take more hazardous actions; 3. Athletes in protective equipment increase aggressive contact; 4. People drink more when designated drivers are present; 5. Unprotected sex increases with condom availability; 6. Skiers ski faster trails after taking safety courses; 7. Swimmers become reckless after learning CPR; 8. Cyclists ignore traffic rules after buying expensive helmets; 9. Financial insurance encourages riskier investments; 10. People take more physical risks after health insurance enrollment.,1. Safety measures prevent injuries independent of behavior; 2. Protective gear reduces harm from unavoidable accidents; 3. Collision systems prevent accidents despite distraction; 4. Designated drivers reduce drunk driving overall; 5. Condoms prevent disease despite increased frequency; 6. Safety training produces safer skiing patterns; 7. CPR knowledge doesn't increase water risks; 8. Helmets protect even with rule violations; 9. Insurance protects against catastrophic loss; 10. Health insurance enables preventive care access.,He jaywalked more after installing a pedestrian safety app.,Students studied less once open-book exams were announced.,She invested aggressively after receiving a guaranteed minimum return.,Cyclists rode closer to cars because bike lanes felt protective.,Vaccinated travelers ignored hygiene practices during long international flights.,Vaccinated nurses continued strict sanitation routines at every shift.,He maintained slow driving even after upgrading vehicle safety systems.,She studied harder despite knowing partial credit was guaranteed.
,Effort justification,People value outcomes more when significant effort was previously invested.,,1. Students value degrees more when achieved through grueling programs; 2. You appreciate meals more when cooking took extensive time; 3. Hazing members rate group membership more positively; 4. Expensive gifts are valued higher than cheaper equivalent items; 5. Painful initiation rituals increase group loyalty; 6. Difficult problems feel more important than easy ones; 7. Gym membership felt valuable after committing monthly fees; 8. Classes you struggled through seem more meaningful; 9. DIY projects are treasured more than purchased equivalents; 10. Relationships that required effort feel more precious.,1. Easy purchases retain value without effort; 2. Effortless learning produces quality knowledge; 3. Quick solutions can be highly effective; 4. Low-cost goods satisfy customers equally; 5. Natural group bonding without hazing works; 6. Efficient problem solutions are most valued; 7. Flexible memberships prove worthwhile; 8. Easy classes teach important concepts; 9. Purchased items satisfy pragmatically; 10. Effortless relationships prove most stable.,"After weeks rehearsing, she insisted the mediocre play was brilliant.","He defended exhausting bootcamp, claiming it completely changed his life.",They praised bland food because reservations were hard to secure.,She glorified her major after surviving extremely demanding entrance exams.,He valued overpriced furniture because he assembled it himself.,She admitted the concert disappointed despite waiting three hours outside.,He dropped a course even after months of heavy studying.,They returned furniture although assembly took an entire weekend.
,Trait ascription bias,Blaming victims less when we identify with their situation.,,1. Sympathizing with addiction when we've struggled with habits; 2. Empathizing with depression after experiencing it ourselves; 3. Blaming accident victims less after our own accidents; 4. Understanding financial mistakes after making them; 5. Forgiving others' relationship errors after our own; 6. Sympathizing with social anxiety when we experience it; 7. Understanding homelessness after hardship; 8. Forgiving fraud victims when similar crimes affect us; 9. Showing compassion for struggles we've faced; 10. Understanding others' failures after our own.,1. Judging others' failures objectively despite our success; 2. Understanding others' hardships without personal experience; 3. Maintaining consistent compassion for all victims; 4. Evaluating performance without self-reference bias; 5. Sympathizing with struggles outside our experience; 6. Judging others' choices with distance and perspective; 7. Remaining fair despite personal biases; 8. Understanding diverse experiences without shared trauma; 9. Evaluating circumstances independently of personal resonance; 10. Maintaining empathy across different life experiences.,"He called her lazy, ignoring she worked double shifts yesterday.","She labeled him rude, overlooking his exhausting overnight hospital shift.",They assumed incompetence instead of recognizing confusing project instructions.,"I blamed his personality, not the impossible deadline pressure.","She judged classmates arrogant, ignoring language barriers.",He considered her workload before judging missed deadlines.,She asked about circumstances before assuming character flaws.,They recognized stress caused his abrupt email replies.
,Fundamental attribution error,Overemphasizing personality while underestimating situational factors.,,"1. Assuming someone is rude because of their personality, not their stress; 2. Believing a student is lazy when they failed due to illness; 3. Judging a person's character for one mistake without context; 4. Assuming someone is dishonest based on a single lie; 5. Blaming someone's failure on lack of ability, not opportunity; 6. Assuming someone is unfriendly when they're actually distracted; 7. Judging someone's intelligence from performance on a bad day; 8. Attributing someone's anger to temperament, not frustration; 9. Believing someone is selfish when they're overwhelmed; 10. Judging someone's kindness from limited interactions.","1. Considering situational context in others' behavior; 2. Attributing mistakes to circumstances, not character; 3. Understanding stress influences how people act; 4. Recognizing illness affects performance; 5. Acknowledging resource constraints matter; 6. Seeing behavior as context-dependent; 7. Evaluating performance fairly with circumstances in mind; 8. Understanding emotions arise from situations; 9. Recognizing overwhelm affects behavior; 10. Judging people across diverse contexts fairly.",Cyclists blamed road design after imagining themselves hit by speeding cars.,Students excused cheating when remembering their own academic pressure.,"Workers defended injured colleagues, recalling similar workplace hazards.",Drivers blamed weather after picturing themselves in icy conditions.,Parents sympathized with mistakes once imagining their own exhausted evenings.,He blamed reckless behavior despite sharing similar job risks.,She criticized victims even when facing identical challenges.,They dismissed explanations although personally experiencing similar situations.
,Actor-observer bias,Explaining our actions situationally,,1. Recognizing both situation and personality in your behavior; 2. Judging others' behavior with situational awareness; 3. Attributing your failures to effort level as well; 4. Recognizing others' situational constraints; 5. Understanding both context and personality drive behavior; 6. Giving others benefit of circumstances; 7. Accepting personal responsibility fairly; 8. Judging yourself with same standards as others; 9. Recognizing situational influence on everyone; 10. Maintaining consistent attribution across self and others.,1. You blame traffic for arriving late; blame friend's poor planning; 2. You blame stress for mistakes; blame colleague's incompetence; 3. You attribute success to hard work; others' to luck; 4. You blame circumstances for angry outburst; blame friend's temperament; 5. You explain your sarcasm as joking; interpret others' as meanness; 6. You say you're tired explaining lateness; say friend is unreliable; 7. You attribute your failure to bad luck; others' to poor ability; 8. You blame your rudeness on bad day; blame coworker's rudeness on personality; 9. You say you helped because you're kind; others helped for recognition; 10. You attribute your spending to necessity; others' to poor judgment.,"She called him unreliable, ignoring subway delays during heavy storms.",They blamed laziness instead of confusing workplace expectations.,"I assumed arrogance, overlooking her public speaking anxiety.",He judged incompetence without noticing broken software systems.,"Teachers blamed effort, ignoring chaotic home environments.",She considered context before criticizing missed deadlines.,He recognized system failures behind employee mistakes.,They asked about circumstances before judging performance.
,Self-serving bias,\,,1. You succeeded because of your skill; failed because the test was unfair; 2. You won because you played well; lost because teammates underperformed; 3. Your good grades reflect your intelligence; bad grades reflect unfair grading; 4. You got the job because you're qualified; didn't get another because they discriminated; 5. Your relationship success is your doing; breakups are their fault; 6. You helped someone because you're generous; didn't help due to circumstance; 7. You finished project early through efficiency; others are slow workers; 8. Your sales success is your talent; poor month was bad territory; 9. You're healthy from discipline; others' illness is just bad luck; 10. Your promotion reflects merit; others' reflects favoritism.,1. Acknowledging your role in failures; 2. Recognizing others' contributions to your success; 3. Accepting responsibility for mistakes fairly; 4. Recognizing situational factors in your outcomes; 5. Crediting others' achievements equally; 6. Understanding shared responsibility in relationships; 7. Accepting honest feedback about performance; 8. Recognizing luck plays a role in your success; 9. Admitting when circumstances favored you; 10. Judging yourself with same rigor as others.,I blamed traffic; he blamed my irresponsibility for being late.,She cited workload; coworkers cited her poor organization.,He excused anger as stress; friends called him aggressive.,I blamed noise; neighbors blamed my temperament.,She blamed illness; teachers blamed motivation.,I admitted personal fault instead of blaming circumstances.,She credited situational stress in others’ mistakes.,He accepted responsibility without external excuses.
,Lake Woebegone effect,Most people believe they are above average on positive traits.,,1. 90% of drivers rate themselves as above-average drivers; 2. Most people rate their intelligence as above average; 3. People rate their appearance above average; 4. Employees rate themselves as above-average workers; 5. Most rate their sense of humor as above average; 6. People overestimate their honesty relative to others; 7. Most claim they're more attractive than average; 8. People rate their parenting above average; 9. Students rate their fairness above average; 10. Most believe they're more ethical than others.,1. Accurate self-assessment matching objective measures; 2. Rating yourself average despite good performance; 3. Recognizing your average standing in skill distribution; 4. Understanding half of people must be below average; 5. Accepting statistical reality of normal distribution; 6. Rating yourself below average as counterbalance; 7. Acknowledging areas where you're genuinely average; 8. Comparing yourself accurately to clear benchmarks; 9. Rating yourself objectively without self-enhancement; 10. Accepting you're not exceptional in most domains.,"He credited talent for promotion, blamed coworkers for project failure.","She praised her skills after winning, blamed unfair judges afterward.","I took credit for teamwork, blamed software for errors.","They celebrated strategy, blamed weather for losses.",She owned praise but blamed traffic for lateness.,He admitted mistakes despite personal embarrassment.,She credited teammates for shared successes.,I accepted responsibility for poor outcomes.
